"","id","title","genres","authors","year"
"2925","91029","Поп-корн","Современные детективы","Андрей Кивинов","2003"
"6486","145092","Заложница страха, или история моего одиночества","Современные детективы","Юлия Шилова","2009"
"9235","306751","Контракт с плейбоем","Современные детективы","Марина Серова","2008"
"9800","271088","Скорая помощь","Легкая проза","Татьяна 100 Рожева","2013"
"9913","300462","Табу на нежные чувства","Современные детективы","Марина Серова","2007"
"9919","18664","Разделяй и властвуй!","Современные детективы","Марина Серова","2006"
"10486","116867","Как изменить свою жизнь за 7 дней","Саморазвитие","Флоренс Шинн","2010"
"16837","158565","Кликни Деда Мороза","Легкая проза","Анна и Сергей Литвиновы","2011"
"20827","104613","Золотой павлин","Современные детективы","Наталья Солнцева","2010"
"22872","52149","Каталог работ. Карандаш 1","Саморазвитие","Валентина Островская","2015"
"25235","161204","Финансовая оргия XVIII века","Русская классика","Федор Булгаков","1893"
"28165","100866","Где выход?","Русская классика","Лев Толстой","1900"
"28199","14693","Свобода книги и революция","Русская классика","Анатолий Луначарский","1921"
"28858","27721","О внешней торговле","Русская классика","Иван Вернадский","1856"
"30945","283428","Диагноз – жизнь. Рецепты. Практические советы о сохранении силы и здоровья, состояния покоя, радости и желания исполнять свои мечты","Саморазвитие","Юлия Болгова","2017"
"32386","56327","Давние знакомства","Современная русская литература","Дмитрий Ильин","2017"
"32534","100829","Моя жизнь – дизайн! Первые шаги в проектировании жизни","Саморазвитие","Анна Миронец","2017"
"33030","20634","За культурный русский язык","Культурология","Александр Беляев","1940"
"33034","289311","Закон о частном радиолюбительстве","Русская классика","Александр Беляев","1924"
"35345","149385","Рыбалка","Современная русская литература","Марина Крумина","2017"
"37262","212317","Сказки Мишоги. Книга 1. Игры мироздания","Современная русская литература","Александр (Мишогу) Юшкин","2017"
"40760","41209","Бытие мое","Религиозные тексты","Алексий Этимон","2000"
"41575","118768","Закончи мысль автора. Тренинг по спасению от информационной псевдодебильности","Саморазвитие","Вольдемар Афористичный","2018"
"52828","135031","Простой способ понять и запомнить сложное: Конспект-карта","Саморазвитие","Ильдар Гильфанов","2018"
"53847","190097","Танечка","Современная русская литература","Марина Сушилова","2003"
"54543","236657","Одиссея","Современная русская литература","Иван Егоров","2018"
"54614","57302","Не только о татарах… Скорее, мысли вслух","Истории из жизни","Гочмурад Гутлыев","2019"
"54900","280240","Почему я выпрыгнул в окно?","Современная русская литература","Антон Романовский","2019"
"54961","191297","Созвездие Чёрных Дыр","Мистика","Carinetta","2018"
"55293","122166","Так распорядилась война","Книги о войне","Леонид Бударин","2019"
"57669","269363","У небес добавки не просят. Навеяно февралем","Современная русская литература","JuNaVi JuNaVi, Наталья Журавлева","2005"
